,PO / SO #,ASN/DN #,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
0,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,13.0,780.34,47.04
1,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,358.0,4521.5,47.04
2,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,HRDT,HIV test,Yes,171.0,1653.78,47.04
3,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1855.0,16007.06,47.04
4,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
5,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,504.0,5920.42,47.04
6,SCMS,ASN,PMO - US,Direct Drop,DDU,Air,ARV,Pediatric,Yes,328.0,0.0,47.04
7,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,1478.0,6212.41,47.04
8,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,No,0.0,0.0,47.04
9,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,643.0,0.0,47.04
10,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Yes,643.0,0.0,47.04
11,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,853.0,13569.49,47.04
13,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Yes,6684.0,31849.010000000002,47.04
14,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,256.0,1760.32,47.04
15,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,0.0,0.0,47.04
16,SCMS,ASN,PMO - US,Direct Drop,CIP,Other,HRDT,HIV test,Yes,0.0,0.0,192.0
17,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,710.0,3120.7,47.04
18,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,162.0,912.96,47.04
19,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,341.0,2682.47,128.0
20,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,2278.0,15893.71,47.04
21,SCMS,ASN,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,Yes,2126.0,0.0,224.93
22,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Yes,941.0,4193.49,3.07
23,SCMS,ASN,PMO - US,Direct Drop,FCA,Air,ARV,Adult,Yes,117.0,1767.38,65.75
24,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,171.0,3518.38,86.39
25,SCMS,ASN,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Yes,60.0,3097.85,14.0
